wav_filename,wav_filesize,transcript,tags,duration
processed/sample-2.wav,72078,открой окно,,2.25
processed/sample-1.wav,60078,открой окно,,1.875
processed/sample-0.wav,60078,открой окно,,1.875
processed/sample-3.wav,68078,открой окно,,2.125
processed/sample-4.wav,76078,открой окно,,2.375
processed/sample-7.wav,76078,открой окно,,2.375
processed/sample-6.wav,68078,открой окно,,2.125
processed/sample-5.wav,72078,открой окно,,2.25
processed/sample-9.wav,76078,открой окно,,2.375
processed/sample-11.wav,60078,открой окно,,1.875
processed/sample-8.wav,76078,открой окно,,2.375
processed/sample-10.wav,76078,открой окно,,2.375
processed/sample-12.wav,60078,открой окно,,1.875
processed/sample-13.wav,72078,открой окно,,2.25
processed/sample-14.wav,68078,открой окно,,2.125
processed/sample-17.wav,68078,открой окно,,2.125
processed/sample-15.wav,76078,открой окно,,2.375
processed/sample-16.wav,72078,открой окно,,2.25
processed/sample-21.wav,76078,открой окно,,2.375
processed/sample-22.wav,60078,открой окно,,1.875
processed/sample-20.wav,76078,открой окно,,2.375
processed/sample-19.wav,76078,открой окно,,2.375
processed/sample-18.wav,76078,открой окно,,2.375
processed/sample-24.wav,72078,открой окно,,2.25
processed/sample-25.wav,68078,открой окно,,2.125
processed/sample-23.wav,60078,открой окно,,1.875
processed/sample-26.wav,76078,открой окно,,2.375
processed/sample-27.wav,72078,открой окно,,2.25
processed/sample-28.wav,68078,открой окно,,2.125
processed/sample-29.wav,76078,открой окно,,2.375
processed/sample-30.wav,76078,открой окно,,2.375
processed/sample-33.wav,60078,открой окно,,1.875
processed/sample-31.wav,76078,открой окно,,2.375
processed/sample-32.wav,76078,открой окно,,2.375
processed/sample-35.wav,72078,открой окно,,2.25
processed/sample-37.wav,76078,открой окно,,2.375
processed-2/sample-2.wav,92078,включи свет,,2.875
processed-2/sample-0.wav,72078,включи свет,,2.25
processed-2/sample-1.wav,80078,включи свет,,2.5
processed-2/sample-3.wav,68078,включи свет,,2.125
processed-2/sample-6.wav,80078,включи свет,,2.5
processed-2/sample-4.wav,80078,включи свет,,2.5
processed-2/sample-5.wav,72078,включи свет,,2.25
processed-2/sample-8.wav,68078,включи свет,,2.125
processed-2/sample-7.wav,92078,включи свет,,2.875
processed-2/sample-10.wav,72078,включи свет,,2.25
processed-2/sample-13.wav,68078,включи свет,,2.125
processed-2/sample-9.wav,80078,включи свет,,2.5
processed-2/sample-12.wav,92078,включи свет,,2.875
processed-2/sample-14.wav,80078,включи свет,,2.5
processed-2/sample-11.wav,80078,включи свет,,2.5
processed-2/sample-22.wav,92078,включи свет,,2.875
processed-2/sample-21.wav,80078,включи свет,,2.5
processed-2/sample-23.wav,68078,включи свет,,2.125
processed-2/sample-25.wav,72078,включи свет,,2.25
processed-2/sample-26.wav,80078,включи свет,,2.5
processed-2/sample-24.wav,80078,включи свет,,2.5
processed-2/sample-27.wav,92078,включи свет,,2.875
processed-2/sample-28.wav,68078,включи свет,,2.125
processed-2/sample-29.wav,80078,включи свет,,2.5
processed-2/sample-30.wav,72078,включи свет,,2.25
processed-2/sample-32.wav,92078,включи свет,,2.875
processed-2/sample-31.wav,80078,включи свет,,2.5
processed-2/sample-33.wav,68078,включи свет,,2.125
processed-2/sample-34.wav,80078,включи свет,,2.5
processed-2/sample-37.wav,92078,включи свет,,2.875
processed-2/sample-36.wav,80078,включи свет,,2.5
processed-2/sample-35.wav,72078,включи свет,,2.25
processed-2/sample-38.wav,68078,включи свет,,2.125
processed-2/sample-41.wav,80078,включи свет,,2.5
